kenteken_land,voertuig_soort,merk,inrichting,datum_eerste_toelating,datum_tenaamstelling,toegestane_maximum_massa_voertuig,europese_voertuigcategorie,europese_voertuigcategorie_toevoeging,taxi_indicator,maximale_constructie_snelheid_bromsnorfiets,brandstoffen,extra_data,diesel,gasoline,electric,versit_klasse,count
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2016-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2019-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""LPG""}]",,,,,01adbc02bad1331bda7ed09922d02a4a,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2008-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""LPG""}]",,,,,94a7b382443a538f48e58e0fc6d3f277,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2011-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""Elektriciteit""}]",,,,,2cfe9b188b4005230cfbedfb17292d2b,1
NL,,,,,,,M,,FALSE,,,,,,,,1
NL,6e4b38bfd57741ac1597c440a1c98074,996e8ce50025e8b1e8fa95fcb28c4e5a,d20f83ee6933aa1ea047fe5cbd9c1fd5,2020-01-01,,28745,R,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,b18cbe19e935a835b34542b700ac132d,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,9bb6bb8697da8dcb9b0d8eb3cdcf8e48,2020-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,958f46b0e5076a1c19396d8ed4803784,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2007-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,903bfc88cb7242c3a6dfa247a3b53e48,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2013-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,5a0562b2bbac60fc4fe9a4cbfbc6d8fa,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2017-01-01,,1500,M,,TRUE,,"[{""volgnr"": 1, ""brandstof"": ""CNG""}]",,,,,75bed2d13408dd033c016339ee52d584,1
NL,b920429cc3267eae82f7c4fec430abf8,,4d0a6feb5d057b41f2e0dacf763834fa,2020-01-01,,1500,C,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,51edc98493509b7da428ef492f91c961,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2008-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,b6ab9f5ef3e4246a9ff1a8eef4f8f4d2,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2009-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""Elektriciteit""}]",,,,,2cfe9b188b4005230cfbedfb17292d2b,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2011-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2020-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,958f46b0e5076a1c19396d8ed4803784,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,ed08678800235deb8acc718f04ae9030,2018-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,db6afb025be0642453da999116a854ca,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2018-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,afd601b819c5c9220ce26224b45d196b,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,90689d934083b5940f0f1179d2098eeb,32a007c3cea025fd86785ac61678bf86,2016-01-01,,19000,T,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,89a6a5383a1ccadcde08079d666c2883,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2011-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,a632bf65e65534b38b13935f2192cff5,1
NL,250e8291dda446bb0d7c4e1236f9634d,,b88add571a5d3e2abe129a6d5a49e67b,2016-01-01,,1500,L,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,f3883caa68d76cf8442b4d81366c1e5f,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2020-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Diesel""}]",,,,,a020887472706a195f6675ce528d9965,1
NL,250e8291dda446bb0d7c4e1236f9634d,,b88add571a5d3e2abe129a6d5a49e67b,2019-01-01,,1500,S,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,a6162aaeefcd14727a76e1e58455799d,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2015-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,3805f36c149f9f4c61348eb35ebac135,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2019-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,db6afb025be0642453da999116a854ca,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2007-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,b99684f7141b5c8f637bd68ddb246715,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2008-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,95065b709f21e3176fc177771083cd5e,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2013-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,bacb7c69ab711bc059789c1d5dc3e282,1
NL,250e8291dda446bb0d7c4e1236f9634d,e6591ee466b87c2168e49b44135d1716,b88add571a5d3e2abe129a6d5a49e67b,2017-01-01,,,L,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,f3883caa68d76cf8442b4d81366c1e5f,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2015-01-01,,1500,M,,TRUE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2005-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,903bfc88cb7242c3a6dfa247a3b53e48,1
